AREA,UF,REGIAO,ANO,CPCCONTINUO,NOTACONCLUINTES,NOTAPADRONIZADAIDD,NOTAPADRONIZADAMESTRES,NOTAPADRONIZADADOUTORES,NOMEIES,SIGLAIES,Publica_1_Privada_0,CATADMINISTRATIVA,ORGACADEMICA,MUNICIPIOCURSO,NOTAPADRONIZADADREGIME,NOTAPADRONIZADAPEDAG,CPC_FAIXA,NOTAPADRONIZADAINFRA,INGRESSANTESPARTICIPANTES,INGRESSANTESINSCRITOS,COD_AREA (cod_curso),COD_IES,AMPLIACAOFORMACAO(NA),CPC FORMULA2013
ADMINISTRAÇÃO,RJ,0,2012,"2,05","1,68","1,41","3,88","1,83",UNIVERSIDADE CASTELO BRANCO,UCB,0,Privada,Universidade,RIO DE JANEIRO,"2,50","2,48","3,00","3,76",106,259,1,176,"2,99","2,03"
CIÊNCIAS CONTÁBEIS,DF,0,2012,"2,92","2,72","2,30","3,96","2,15",UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,0,Privada,Universidade,BRASILIA,"3,68","4,09","3,00","4,84",68,178,22,403,"4,39","2,90"
CIÊNCIAS CONTÁBEIS,RJ,0,2012,"2,11","1,65","1,39","3,67","2,58",UNIVERSIDADE CASTELO BRANCO,UCB,0,Privada,Universidade,RIO DE JANEIRO,"2,42","2,13","3,00","3,90",39,86,22,176,"2,83","2,09"
CIÊNCIAS ECONÔMICAS,DF,0,2012,"2,71","1,72","2,15","5,00","2,14",UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,0,Privada,Universidade,BRASILIA,"3,39","4,17","3,00","4,71",28,58,13,403,"4,38","2,70"
DIREITO,DF,0,2012,"2,33","2,02","2,35","2,67","1,17",UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,0,Privada,Universidade,BRASILIA,"1,67","3,90","3,00","4,11",392,741,2,403,"3,98","2,32"
FILOSOFIA (LICENCIATURA),DF,0,2011,"3,53","3,70","3,70","3,89","1,67",UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,0,PRIVADA,UNIVERSIDADES,BRASÍLIA,"2,97","4,74","4,00","5,00",31,96,3202,403,"4,85","3,53"
HISTÓRIA (BACHARELADO),RJ,0,2011,"2,32","1,79","2,35","2,98","1,79",UNIVERSIDADE CASTELO BRANCO,UCB,0,PRIVADA,UNIVERSIDADES,RIO DE JANEIRO,"1,92","2,61",Unidade com cursos não reconhecidos até 30/09/2012,"4,05",29,49,2401,176,"3,19","2,30"
JORNALISMO,DF,0,2012,"3,28","3,06","3,49","3,26","1,71",UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,0,Privada,Universidade,BRASILIA,"4,31","4,31","4,00","4,04",42,74,803,403,"4,20","3,29"
JORNALISMO,RJ,0,2012,"2,51","2,47","3,06","3,18","1,63",UNIVERSIDADE CASTELO BRANCO,UCB,0,Privada,Universidade,RIO DE JANEIRO,"1,87","1,29","3,00","3,02",31,38,803,176,"1,98","2,49"
PSICOLOGIA,DF,0,2012,"3,06","2,17","2,87","4,26","2,21",UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,0,Privada,Universidade,BRASILIA,"3,73","4,70","4,00","4,50",67,142,18,403,"4,62","3,06"
PUBLICIDADE E PROPAGANDA,DF,0,2012,"2,50","1,93","1,95","3,63","1,63",UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,0,Privada,Universidade,BRASILIA,"4,13","3,62","3,00","4,48",62,116,804,403,"3,96","2,49"
PUBLICIDADE E PROPAGANDA,RJ,0,2012,"2,11","2,03","2,19","2,86","1,82",UNIVERSIDADE CASTELO BRANCO,UCB,0,Privada,Universidade,RIO DE JANEIRO,"1,88","1,27","3,00","2,83",41,60,804,176,"1,89","2,08"
RELAÇÕES INTERNACIONAIS,DF,0,2012,"2,88","2,33","2,35","4,68","2,50",UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,0,Privada,Universidade,BRASILIA,"3,13","4,48","3,00","3,94",92,119,81,403,"4,26","2,89"
ADMINISTRAÇÃO,RJ,0,2012,"3,55","4,23","4,19","3,51","0,76",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,CAMPOS DO GOYTACAZES,"3,78","2,97","4,00","4,66",62,122,1,1153,"3,65","3,52"
ADMINISTRAÇÃO,RJ,0,2012,"2,19","2,94","2,54","2,50","0,81",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,NOVA FRIBURGO,"1,54","1,96","3,00","1,94",45,88,1,1153,"1,95","2,19"
ADMINISTRAÇÃO,RJ,0,2012,"2,09","2,07","1,47","3,55","1,47",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,NITEROI,"4,21","2,30","3,00","2,51",100,236,1,1153,"2,38","2,09"
ADMINISTRAÇÃO,RJ,0,2012,"1,45","1,48","0,75","3,22","1,06",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,RIO DE JANEIRO,"2,95","1,82","2,00","1,73",360,1010,1,1153,"1,79","1,45"
CIÊNCIAS CONTÁBEIS,RJ,0,2012,"2,79","3,11","2,58","3,00","0,54",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,CAMPOS DO GOYTACAZES,"3,50","4,74","3,00","4,55",21,61,22,1153,"4,67","2,80"
CIÊNCIAS CONTÁBEIS,RJ,0,2012,"1,69","1,64","1,03","3,35","1,32",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,RIO DE JANEIRO,"2,83","1,74","2,00","2,83",78,182,22,1153,"2,18","1,68"
CIÊNCIAS CONTÁBEIS,RJ,0,2012,"1,68","1,27","0,73","3,79","1,48",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,NITEROI,"4,24","1,89","2,00","2,76",57,122,22,1153,"2,24","1,67"
CIÊNCIAS CONTÁBEIS,RJ,0,2012,"1,02","1,44","0,66","2,41","0,91",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,NOVA FRIBURGO,"1,67","0,80","2,00","0,00",18,41,22,1153,"0,48","1,03"
CIÊNCIAS ECONÔMICAS,RJ,0,2012,"2,22","1,66","1,88","3,92","1,74",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,RIO DE JANEIRO,"3,26","1,43","3,00","4,35",30,47,13,1153,"2,60","2,18"
CIÊNCIAS SOCIAIS (BACHARELADO),RJ,0,2011,"2,46","3,03","2,68","2,46","1,43",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,PRIVADA,UNIVERSIDADES,RIO DE JANEIRO,"0,71","2,89","3,00","3,35",19,53,5401,1153,"3,07","2,46"
DIREITO,RJ,0,2012,"3,31","3,34","3,09","3,64","2,73",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,CAMPOS DO GOYTACAZES,"4,32","3,74","4,00","3,65",91,145,2,1153,"3,70","3,31"
DIREITO,RJ,0,2012,"2,70","2,43","2,42","3,50","3,00",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,NOVA FRIBURGO,"3,60","1,94","3,00","3,18",57,101,2,1153,"2,43","2,68"
DIREITO,RJ,0,2012,"2,26","1,83","1,86","3,76","2,42",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,NITEROI,"4,09","1,89","3,00","2,04",280,489,2,1153,"1,95","2,26"
DIREITO,RJ,0,2012,"1,66","1,08","0,97","3,45","2,41",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,RIO DE JANEIRO,"3,34","1,56","2,00","1,51",552,1216,2,1153,"1,54","1,66"
JORNALISMO,RJ,0,2012,"2,57","2,96","3,62","2,04","0,59",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,NOVA FRIBURGO,"2,11","1,76","3,00","2,43",8,15,803,1153,"2,03","2,56"
PUBLICIDADE E PROPAGANDA,RJ,0,2012,"1,20","1,42","1,07","1,57","0,36",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,RIO DE JANEIRO,"2,86","1,50","2,00","0,61",7,26,804,1153,"1,14","1,22"
RELAÇÕES INTERNACIONAIS,RJ,0,2012,"2,70","2,21","2,34","3,30","1,39",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,CAMPOS DO GOYTACAZES,"4,17","4,13","3,00","4,74",27,42,81,1153,"4,37","2,69"
RELAÇÕES INTERNACIONAIS,RJ,0,2012,"2,00","1,67","1,14","3,61","2,42",UNIVERSIDADE CÂNDIDO MENDES,UCAM,0,Privada,Universidade,RIO DE JANEIRO,"3,18","2,86","3,00","2,38",73,119,81,1153,"2,67","2,01"
ADMINISTRAÇÃO,RJ,0,2012,"2,22","2,19","2,41","4,03","0,45",CENTRO UNIVERSITÁRIO DE BARRA MANSA,UBM,0,Privada,Centro Universitário,BARRA MANSA,"1,61","2,54","3,00","3,43",64,149,1,514,"2,90","2,21"
CIÊNCIAS CONTÁBEIS,RJ,0,2012,"2,27","2,27","2,18","3,57","0,58",CENTRO UNIVERSITÁRIO DE BARRA MANSA,UBM,0,Privada,Centro Universitário,BARRA MANSA,"2,50","2,87","3,00","3,97",27,63,22,514,"3,31","2,25"
DIREITO,RJ,0,2012,"3,30","3,03","3,46","3,71","2,27",CENTRO UNIVERSITÁRIO DE BARRA MANSA,UBM,0,Privada,Centro Universitário,BARRA MANSA,"4,17","2,97","4,00","4,35",98,222,2,514,"3,52","3,28"
PSICOLOGIA,RJ,0,2012,"3,32","3,09","3,65","5,00","1,47",CENTRO UNIVERSITÁRIO DE BARRA MANSA,UBM,0,Privada,Centro Universitário,BARRA MANSA,"3,10","3,21","4,00","4,75",45,85,18,514,"3,83","3,30"
ADMINISTRAÇÃO,SP,0,2012,"2,56","2,53","2,53","2,84","1,04",UNIVERSIDADE BRAZ CUBAS,UBC,0,Privada,Universidade,MOGI DAS CRUZES,"4,10","2,80","3,00","3,74",70,399,1,526,"3,18","2,54"
CIÊNCIAS CONTÁBEIS,SP,0,2012,"2,95","2,82","3,10","2,71","1,02",UNIVERSIDADE BRAZ CUBAS,UBC,0,Privada,Universidade,MOGI DAS CRUZES,"3,75","4,19","4,00","4,74",18,46,22,526,"4,41","2,95"
DIREITO,SP,0,2012,"2,66","2,34","2,93","3,53","1,18",UNIVERSIDADE BRAZ CUBAS,UBC,0,Privada,Universidade,MOGI DAS CRUZES,"3,53","2,62","3,00","3,54",94,204,2,526,"2,99","2,65"
JORNALISMO,SP,0,2012,"2,64","2,74","3,06","2,22","0,83",UNIVERSIDADE BRAZ CUBAS,UBC,0,Privada,Universidade,MOGI DAS CRUZES,"3,70","2,81","3,00","3,24",17,28,803,526,"2,98","2,63"
PSICOLOGIA,SP,0,2012,"2,69","2,57","3,65","2,14","0,74",UNIVERSIDADE BRAZ CUBAS,UBC,0,Privada,Universidade,MOGI DAS CRUZES,"3,86","1,67","3,00","2,81",37,87,18,526,"2,13","2,67"
PUBLICIDADE E PROPAGANDA,SP,0,2012,"2,25","1,84","2,21","2,46","0,93",UNIVERSIDADE BRAZ CUBAS,UBC,0,Privada,Universidade,MOGI DAS CRUZES,"3,70","3,33","3,00","3,47",7,14,804,526,"3,39","2,25"
ADMINISTRAÇÃO,SP,0,2012,"2,58","2,13","1,73","4,55","2,86",UNIVERSIDADE ANHEMBI MORUMBI,UAM,0,Privada,Universidade,SAO PAULO,"3,60","2,60","3,00","4,18",269,954,1,466,"3,23","2,56"
CIÊNCIAS CONTÁBEIS,SP,0,2012,"3,15","3,38","3,00","4,79","1,70",UNIVERSIDADE ANHEMBI MORUMBI,UAM,0,Privada,Universidade,SAO PAULO,"2,75","3,69","4,00","4,40",88,239,22,466,"3,97","3,14"
DIREITO,SP,0,2012,"3,37","2,78","3,16","4,75","3,38",UNIVERSIDADE ANHEMBI MORUMBI,UAM,0,Privada,Universidade,SAO PAULO,"2,63","4,05","4,00","4,59",83,197,2,466,"4,26","3,36"
JORNALISMO,SP,0,2012,"2,99","2,12","2,48","5,00","3,46",UNIVERSIDADE ANHEMBI MORUMBI,UAM,0,Privada,Universidade,SAO PAULO,"3,33","3,27","4,00","4,14",147,265,803,466,"3,61","2,98"
PUBLICIDADE E PROPAGANDA,SP,0,2012,"2,90","2,25","2,19","4,21","3,56",UNIVERSIDADE ANHEMBI MORUMBI,UAM,0,Privada,Universidade,SAO PAULO,"3,36","3,47","3,00","4,33",510,976,804,466,"3,81","2,89"
RELAÇÕES INTERNACIONAIS,SP,0,2012,"3,15","2,57","2,77","4,81","3,13",UNIVERSIDADE ANHEMBI MORUMBI,UAM,0,Privada,Universidade,SAO PAULO,"3,38","3,42","4,00","4,36",181,316,81,466,"3,79","3,14"
ADMINISTRAÇÃO,SP,0,2012,"1,63","1,01","0,00","3,72","2,23",TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS,TREVISAN,0,Privada,Faculdade,SAO PAULO,"2,87","4,06","2,00","3,98",20,26,1,1311,"4,03","1,64"
CIÊNCIAS CONTÁBEIS,SP,0,2012,"3,03","2,37","1,55","5,00","4,48",TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS,TREVISAN,0,Privada,Faculdade,SAO PAULO,"4,75","3,34","4,00","4,74",17,26,22,1311,"3,90","3,01"
ADMINISTRAÇÃO,GO,0,2012,"1,27","0,72","1,54","1,25","0,00",FACULDADE SUL DA AMÉRICA,SULDAMÉRICA,0,Privada,Faculdade,APARECIDA DE GOIANIA,"1,88","1,92","2,00","2,79",11,27,1,2836,"2,27","1,26"
HISTÓRIA (LICENCIATURA),GO,0,2011,"2,27","2,76","2,76","1,32","0,00",FACULDADE SUL DA AMÉRICA,SULDAMÉRICA,0,PRIVADA,FACULDADES,APARECIDA DE GOIÂNIA,"0,45","4,29",Unidade com cursos não reconhecidos até 30/09/2012,"4,01",0,7,2402,2836,"4,17","2,27"
CIÊNCIAS CONTÁBEIS,MG,0,2012,"2,69","2,24","2,23","3,57","1,16",FACULDADE SUDAMÉRICA,SUDAMÉRICA,0,Privada,Faculdade,CATAGUASES,"3,57","5,00","3,00","5,00",14,40,22,2041,"5,00","2,69"
DIREITO,MG,0,2012,"3,23","1,98","2,77","4,58","3,13",FACULDADE SUDAMÉRICA,SUDAMÉRICA,0,Privada,Faculdade,CATAGUASES,"4,58","4,79","4,00","4,67",14,48,2,2041,"4,74","3,23"
ADMINISTRAÇÃO,MG,0,2012,"2,18","2,12","2,54","2,89","0,74",FACULDADE DE SABARÁ,SOECS,0,Privada,Faculdade,SABARA,"3,16","2,00","3,00","1,96",13,50,1,1174,"1,98","2,18"
DIREITO,MG,0,2012,"2,24","2,14","2,66","2,68","0,80",FACULDADE DE SABARÁ,SOECS,0,Privada,Faculdade,SABARA,"2,14","1,95","3,00","3,37",31,92,2,1174,"2,52","2,22"
ADMINISTRAÇÃO,RS,1,2012,"1,89","2,19","1,82","2,30","0,56",FACULDADES INTEGRADAS SÃO JUDAS TADEU,SJT,0,Privada,Faculdade,PORTO ALEGRE,"0,90","2,96","2,00","3,65",96,389,1,5600,"3,24","1,88"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"1,90","1,91","1,71","2,86","0,47",FACULDADES INTEGRADAS SÃO JUDAS TADEU,SJT,0,Privada,Faculdade,PORTO ALEGRE,"0,57","3,36","2,00","4,60",43,165,22,5600,"3,85","1,88"
DIREITO,RS,1,2012,"1,67","1,23","1,03","4,00","0,75",FACULDADES INTEGRADAS SÃO JUDAS TADEU,SJT,0,Privada,Faculdade,PORTO ALEGRE,"0,88","3,31","2,00","4,48",60,217,2,5600,"3,78","1,65"
ADMINISTRAÇÃO,SC,1,2012,"2,73","1,91","2,32","4,44","1,94",FACULDADE SINERGIA,SINERGIA,0,Privada,Faculdade,NAVEGANTES,"3,06","4,35","3,00","4,76",24,57,1,1980,"4,51","2,72"
DIREITO,SC,1,2012,"3,06","2,06","3,38","5,00","1,50",FACULDADE SINERGIA,SINERGIA,0,Privada,Faculdade,NAVEGANTES,"2,50","4,65","4,00","4,44",7,19,2,1980,"4,57","3,07"
FILOSOFIA (BACHARELADO),AC,0,2011,"1,59","1,19","0,43","1,50","0,96",SINAL - FACULDADE DE TEOLOGIA E FILOSOFIA,SINAL,0,PRIVADA,FACULDADES,RIO BRANCO,"3,67","4,53",Unidade com cursos não reconhecidos até 30/09/2012,"4,41",18,58,3201,3675,"4,48","1,59"
ADMINISTRAÇÃO,AL,0,2012,"2,19","2,42","2,53","2,26","1,13",FACULDADE DE CIÊNCIAS CONTÁBEIS - MACEIÓ,SEUNE,0,Privada,Faculdade,MACEIO,"0,65","2,29","3,00","3,42",20,56,1,1051,"2,74","2,17"
CIÊNCIAS CONTÁBEIS,AL,0,2012,"1,48","1,29","1,22","1,81","1,13",FACULDADE DE CIÊNCIAS CONTÁBEIS - MACEIÓ,SEUNE,0,Privada,Faculdade,MACEIO,"0,69","2,26","2,00","3,59",47,126,22,1051,"2,79","1,46"
DIREITO,AL,0,2012,"2,17","1,96","2,05","3,19","1,28",FACULDADE DE CIÊNCIAS CONTÁBEIS - MACEIÓ,SEUNE,0,Privada,Faculdade,MACEIO,"1,28","3,05","3,00","4,09",116,205,2,1051,"3,47","2,15"
ADMINISTRAÇÃO,RS,1,2012,"2,59","2,45","2,71","3,85","0,00",FACULDADE TRÊS DE MAIO,SETREM,0,Privada,Faculdade,TRES DE MAIO,"3,08","3,84","3,00","4,64",37,65,1,294,"4,16","2,58"
PSICOLOGIA,RS,1,2012,"2,96","2,60","3,35","4,00","0,26",FACULDADE TRÊS DE MAIO,SETREM,0,Privada,Faculdade,TRES DE MAIO,"3,00","4,71","4,00","4,74",12,17,18,294,"4,72","2,96"
ADMINISTRAÇÃO,ES,0,2012,"4,03","3,94","4,29","5,00","2,43",FACULDADE CAPIXABA DA SERRA,SERRA-VIX,0,Privada,Faculdade,SERRA,"5,00","3,57","5,00","4,74",69,212,1,1326,"4,04","4,01"
DIREITO,GO,0,2012,"2,27","1,68","1,77","2,69","1,15",FACULDADE RAÍZES,SER,0,Privada,Faculdade,ANAPOLIS,"3,08","4,63","3,00","4,84",84,167,2,3389,"4,71","2,27"
ADMINISTRAÇÃO,RJ,0,2012,"2,61","2,78","2,34","3,52","0,52",FACULDADE SENAI-CETIQT,SENAI-CETIQT,0,Privada,Faculdade,RIO DE JANEIRO,"5,00","1,87","3,00","5,00",5,18,1,991,"3,12","2,56"
ADMINISTRAÇÃO,SP,0,2012,"2,55","2,36","1,74","3,94","1,63",CENTRO UNIVERSITÁRIO SENAC,SENACSP,0,Privada,Centro Universitário,SAO PAULO,"3,33","4,05","3,00","4,96",100,240,1,3985,"4,41","2,53"
PUBLICIDADE E PROPAGANDA,SP,0,2012,"2,67","2,54","2,01","4,24","1,46",CENTRO UNIVERSITÁRIO SENAC,SENACSP,0,Privada,Centro Universitário,SAO PAULO,"4,33","2,92","3,00","5,00",55,117,804,3985,"3,75","2,64"
ADMINISTRAÇÃO,PE,0,2012,"2,50","2,64","2,60","3,57","0,00",FACULDADE SENAC PERNAMBUCO,SENACPE,0,Privada,Faculdade,RECIFE,"1,90","3,68","3,00","5,00",32,71,1,3996,"4,21","2,48"
ADMINISTRAÇÃO,RS,1,2012,"2,31","1,97","1,87","4,32","1,27",FACULDADE SENAC PORTO ALEGRE - FSPOA,SENAC/RS,0,Privada,Faculdade,PORTO ALEGRE,"2,73","2,86","3,00","4,29",31,121,1,3804,"3,43","2,28"
ADMINISTRAÇÃO,SC,1,2012,"3,01","2,94","3,02","3,08","1,08",FACULDADE DE ITAPIRANGA,SEI/FAI,0,Privada,Faculdade,ITAPIRANGA,"3,08","4,86","4,00","5,00",37,52,1,1773,"4,92","3,01"
CIÊNCIAS CONTÁBEIS,SC,1,2012,"2,99","3,06","2,78","3,16","1,29",FACULDADE DE ITAPIRANGA,SEI/FAI,0,Privada,Faculdade,ITAPIRANGA,"3,16","4,85","4,00","5,00",28,38,22,1773,"4,91","2,99"
DIREITO,SC,1,2012,"2,78","2,29","2,78","3,68","1,18",FACULDADE DE ITAPIRANGA,SEI/FAI,0,Privada,Faculdade,ITAPIRANGA,"3,16","4,53","3,00","4,25",49,65,2,1773,"4,42","2,78"
PSICOLOGIA,RJ,0,2012,"2,43","1,85","2,93","3,82","1,21",FACULDADE DE CIÊNCIAS MÉDICAS E PARAMÉDICAS FLUMINENSE,SEFLU,0,Privada,Faculdade,NILOPOLIS,"1,76","2,29","3,00","3,52",8,35,18,759,"2,78","2,41"
ADMINISTRAÇÃO,SP,0,2012,"1,98","1,91","2,21","2,50","0,88",FACULDADE FLEMING,SEF,0,Privada,Faculdade,CAMPINAS,"2,50","1,90","3,00","2,40",83,414,1,1213,"2,10","1,98"
CIÊNCIAS CONTÁBEIS,SP,0,2012,"1,72","1,61","1,66","2,59","1,12",FACULDADE FLEMING,SEF,0,Privada,Faculdade,CAMPINAS,"2,76","1,52","2,00","1,78",29,98,22,1213,"1,63","1,72"
ADMINISTRAÇÃO,PR,1,2012,"2,43","2,09","1,82","3,81","1,00",FACULDADE SANTA AMÉLIA,SECAL,0,Privada,Faculdade,PONTA GROSSA,"4,05","4,31","3,00","4,14",106,219,1,1726,"4,24","2,43"
CIÊNCIAS CONTÁBEIS,PR,1,2012,"2,00","1,48","1,09","3,75","2,04",FACULDADE SANTA AMÉLIA,SECAL,0,Privada,Faculdade,PONTA GROSSA,"3,75","2,99","3,00","2,99",50,102,22,1726,"2,99","2,00"
DIREITO,PR,1,2012,"2,76","2,14","2,28","5,00","1,50",FACULDADE SANTA AMÉLIA,SECAL,0,Privada,Faculdade,PONTA GROSSA,"2,50","5,00","3,00","5,00",41,85,2,1726,"5,00","2,76"
JORNALISMO,PR,1,2012,"2,40","2,24","2,52","3,44","1,40",FACULDADE SANTA AMÉLIA,SECAL,0,Privada,Faculdade,PONTA GROSSA,"4,38","2,50","3,00","1,22",11,30,803,1726,"1,99","2,42"
DIREITO,AP,0,2012,"1,55","1,25","1,30","2,02","0,18",FACULDADE SEAMA,SEAMA,0,Privada,Faculdade,MACAPA,"1,90","2,81","2,00","4,21",132,237,2,1591,"3,37","1,53"
JORNALISMO,AP,0,2012,"2,08","2,09","2,09","2,06","0,00",FACULDADE SEAMA,SEAMA,0,Privada,Faculdade,MACAPA,"3,24","3,10","3,00","4,11",15,77,803,1591,"3,50","2,07"
PSICOLOGIA,AP,0,2012,"2,85","2,55","2,99","3,61","0,43",FACULDADE SEAMA,SEAMA,0,Privada,Faculdade,MACAPA,"3,33","4,48","3,00","5,00",72,161,18,1591,"4,69","2,84"
PUBLICIDADE E PROPAGANDA,AP,0,2012,"1,61","1,36","1,16","2,14","0,00",FACULDADE SEAMA,SEAMA,0,Privada,Faculdade,MACAPA,"3,25","3,18","2,00","3,90",21,86,804,1591,"3,47","1,60"
ADMINISTRAÇÃO,ES,0,2012,"1,89","1,49","1,27","3,08","0,54",CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO,SÃO CAMILO-ES,0,Privada,Centro Universitário,CACHOEIRO DE ITAPEMIRIM,"2,69","3,77","2,00","4,76",50,77,1,739,"4,16","1,88"
CIÊNCIAS CONTÁBEIS,ES,0,2012,"2,00","1,96","1,51","2,27","0,00",CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO,SÃO CAMILO-ES,0,Privada,Centro Universitário,CACHOEIRO DE ITAPEMIRIM,"2,27","4,81","3,00","5,00",71,105,22,739,"4,88","1,99"
DIREITO,ES,0,2012,"2,30","1,98","2,29","4,38","0,00",CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO,SÃO CAMILO-ES,0,Privada,Centro Universitário,CACHOEIRO DE ITAPEMIRIM,"2,19","3,93","3,00","4,22",73,101,2,739,"4,05","2,30"
HISTÓRIA (LICENCIATURA),ES,0,2011,"3,48","3,89","4,26","3,84","0,50",CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO,SÃO CAMILO-ES,0,PRIVADA,CENTROS UNIVERSITÁRIOS,CACHOEIRO DE ITAPEMIRIM,"3,00","4,17","4,00","4,13",20,32,2402,739,"4,15","3,48"
PSICOLOGIA,ES,0,2012,"2,83","2,34","3,16","4,33","1,03",CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO,SÃO CAMILO-ES,0,Privada,Centro Universitário,CACHOEIRO DE ITAPEMIRIM,"1,50","3,91","3,00","4,91",36,52,18,739,"4,31","2,81"
ADMINISTRAÇÃO,SP,0,2012,"1,96","1,76","1,77","3,65","0,81",CENTRO UNIVERSITÁRIO SÃO CAMILO,SAO CAMILO,0,Privada,Centro Universitário,SAO PAULO,"1,92","2,44","3,00","3,60",16,41,1,737,"2,90","1,95"
FILOSOFIA (LICENCIATURA),SP,0,2011,"3,58","3,58","3,92","4,71","2,17",CENTRO UNIVERSITÁRIO SÃO CAMILO,SAO CAMILO,0,PRIVADA,CENTROS UNIVERSITÁRIOS,SÃO PAULO,"2,64","3,39","4,00","4,77",8,28,3202,737,"3,94","3,56"
PSICOLOGIA,SP,0,2012,"3,37","3,32","3,56","4,74","1,78",CENTRO UNIVERSITÁRIO SÃO CAMILO,SAO CAMILO,0,Privada,Centro Universitário,SAO PAULO,"2,88","3,25","4,00","5,00",25,78,18,737,"3,95","3,34"
HISTÓRIA (LICENCIATURA),ES,0,2011,"2,72","2,87","2,75","5,00","0,00",FACULDADE SABERES,SABERES,0,PRIVADA,FACULDADES,VITÓRIA,"4,44","3,83","3,00","2,48",56,75,2402,1852,"3,29","2,74"
ADMINISTRAÇÃO,SP,0,2012,"2,55","1,89","1,95","3,73","2,70",Centro Universitário Estácio Radial de São Paulo - Estácio UNIRADIAL,RADIAL,0,Privada,Centro Universitário,SAO PAULO,"4,40","2,51","3,00","3,82",76,302,1,793,"3,04","2,53"
CIÊNCIAS CONTÁBEIS,SP,0,2012,"2,44","2,29","2,48","2,95","1,88",Centro Universitário Estácio Radial de São Paulo - Estácio UNIRADIAL,RADIAL,0,Privada,Centro Universitário,SAO PAULO,"2,95","1,47","3,00","3,75",23,101,22,793,"2,38","2,41"
DIREITO,SP,0,2012,"2,94","2,09","2,80","3,77","2,87",Centro Universitário Estácio Radial de São Paulo - Estácio UNIRADIAL,RADIAL,0,Privada,Centro Universitário,SAO PAULO,"4,26","2,68","3,00","4,14",72,344,2,793,"3,26","2,92"
HISTÓRIA (LICENCIATURA),SP,0,2011,"2,50","2,66","2,66","2,77","0,77",CENTRO UNIVERSITÁRIO ESTÁCIO RADIAL DE SÃO PAULO - ESTÁCIO UNIRADIAL,RADIAL,0,PRIVADA,CENTROS UNIVERSITÁRIOS,SÃO PAULO,"2,31","2,97","3,00","4,23",2,25,2402,793,"3,47","2,48"
PUBLICIDADE E PROPAGANDA,SP,0,2012,"1,86","1,33","1,65","3,51","1,63",Centro Universitário Estácio Radial de São Paulo - Estácio UNIRADIAL,RADIAL,0,Privada,Centro Universitário,SAO PAULO,"3,04","1,48","2,00","2,31",10,36,804,793,"1,81","1,85"
ADMINISTRAÇÃO,SP,0,2012,"3,11","2,75","2,15","4,86","3,07",PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,0,Privada,Universidade,BARUERI,"4,83","3,45","4,00","4,87",28,52,1,546,"4,02","3,09"
ADMINISTRAÇÃO,SP,0,2012,"2,44","2,16","1,05","4,86","3,09",PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,0,Privada,Universidade,SAO PAULO,"4,84","2,93","3,00","3,01",400,668,1,546,"2,96","2,43"
